Department,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,PerformanceRating,JobSatisfaction,PromotionGapRiskScore,PromotionGapRiskLevel,RetentionOpportunityScore,RetentionOpportunityLevel,RecommendedAction,Attrition
Research & Development,Manufacturing Director,2,9,8,7,8,3,4,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,10,3,9,9,2,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,5,27,3,13,8,2,3,3,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,21,16,7,9,3,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,17,14,12,8,2,3,3,5,Medium,0,Low,No Immediate Action,0
Research & Development,Manager,4,5,0,0,2,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,6,5,0,3,3,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,3,1,0,0,0,2,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,1,2,2,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,0,3,3,2,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,4,3,1,3,2,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,4,0,4,3,4,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,1,1,0,4,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,10,4,0,9,3,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,11,7,1,8,2,4,4,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,15,13,2,8,2,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,3,0,0,0,0,3,3,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,3,5,2,0,2,3,3,3,0,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,2,4,2,0,2,2,4,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,10,8,3,0,1,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,6,4,0,4,3,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,1,0,1,0,4,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,13,11,1,9,3,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,5,2,1,3,2,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,6,4,0,2,3,3,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,0,0,0,0,3,3,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,4,2,0,3,4,4,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,11,10,10,8,3,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,9,8,4,7,3,3,4,3,Medium,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,4,22,3,11,11,3,4,2,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,10,7,1,0,2,4,4,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,11,8,2,7,4,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,10,9,9,5,5,3,1,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,11,8,5,7,0,3,3,6,High,0,Low,No Immediate Action,0
Research & Development,Research Director,3,4,3,0,3,5,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,3,2,0,2,2,4,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,0,4,3,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,4,37,10,1,8,1,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,3,2,1,2,3,3,2,0,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,3,2,0,2,3,4,1,0,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,1,0,0,0,2,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,1,0,5,3,4,0,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,2,16,13,2,10,3,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,1,0,0,0,2,3,4,1,Low,0,Low,No Immediate Action,0
Human Resources,Manager,5,3,2,2,2,3,4,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,5,8,3,0,7,1,3,2,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,6,4,0,3,1,3,3,2,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,2,2,2,1,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,0,0,0,0,5,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,13,12,12,8,1,4,1,5,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,9,7,0,6,3,4,3,2,Low,0,Low,No Immediate Action,1
Human Resources,Manager,4,5,3,4,4,3,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,3,1,2,2,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,1,0,0,0,3,3,2,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,5,3,1,3,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Manager,3,11,10,5,8,6,3,1,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,9,7,2,8,6,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,2,4,4,1,Low,0,Low,No Immediate Action,0
Sales,Manager,4,25,12,4,12,3,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,10,7,0,9,2,4,3,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,7,0,7,2,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,4,4,3,2,3,2,3,Medium,0,Low,No Immediate Action,1
Research & Development,Research Director,5,20,18,15,15,5,3,3,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,7,7,7,3,3,3,4,Medium,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,5,4,4,3,3,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,40,10,15,6,3,3,4,4,Medium,0,Low,No Immediate Action,1
Sales,Sales Representative,1,0,0,0,0,2,3,3,1,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,2,1,2,1,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,15,11,5,11,2,3,1,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,1,2,2,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,2,2,2,1,3,3,4,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,2,2,2,2,2,3,3,2,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,3,9,7,0,7,2,3,3,3,Medium,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,8,7,5,7,3,4,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,3,2,0,1,0,4,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,4,2,0,3,2,3,4,1,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,15,11,5,9,1,3,3,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,2,2,2,2,3,3,3,1,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,2,11,9,4,7,2,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,4,0,4,2,4,1,2,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,6,5,0,3,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,3,2,2,2,2,4,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,4,0,4,4,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,8,7,0,7,2,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,2,2,3,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,3,1,2,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Manager,4,7,6,7,7,2,3,1,5,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,0,1,4,2,4,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,3,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,20,7,2,13,2,3,2,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,10,8,0,6,3,3,2,2,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,2,7,7,4,5,3,4,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,17,9,0,15,2,3,2,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,9,8,3,7,2,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,10,7,0,9,1,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,1,0,0,0,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,3,4,2,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,12,11,2,11,2,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,4,3,1,2,3,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,2,2,6,4,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,2,2,1,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,2,0,2,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,5,3,1,4,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,1,0,1,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Manager,5,5,4,4,4,5,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,9,8,1,8,2,3,3,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,10,9,7,4,2,3,4,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,8,3,0,7,2,4,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,4,1,4,2,4,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,2,1,1,3,3,2,0,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,0,0,0,0,5,4,1,0,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,8,7,7,2,3,3,2,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,12,9,6,10,4,3,1,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,0,3,3,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,2,2,3,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,1,0,2,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,1,0,3,4,4,0,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,3,24,13,15,7,2,4,1,5,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,2,1,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,4,2,0,2,0,4,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,1,2,3,3,2,0,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,4,3,0,2,5,4,2,1,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,3,2,0,2,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,4,2,1,3,3,3,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,8,7,1,6,5,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Manager,5,20,8,9,9,2,3,3,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,5,24,15,2,15,3,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,10,9,1,9,2,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,4,7,7,1,0,6,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Manager,5,33,18,11,9,5,3,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,7,7,0,3,2,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,1,0,0,1,1,3,3,1,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,5,4,2,2,3,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Manager,4,20,8,11,8,1,4,4,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,8,7,1,7,3,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,6,2,1,2,5,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,5,3,0,2,5,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,1,0,0,0,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,7,7,1,7,3,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,2,2,2,0,1,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,7,7,1,7,0,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,3,2,0,4,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,7,2,3,7,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,1,0,0,0,2,3,1,1,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,3,10,4,1,9,3,4,4,1,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,4,2,2,2,2,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,8,1,1,7,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,3,2,0,2,5,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,4,2,0,3,3,3,1,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,14,8,9,8,2,3,4,5,Medium,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,3,11,8,5,8,2,4,3,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,7,0,7,2,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,3,10,9,4,7,5,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,2,0,4,5,3,1,0,Low,0,Low,No Immediate Action,1
Sales,Manager,3,1,0,0,0,3,3,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,6,3,0,1,5,3,1,1,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,6,2,1,5,1,3,3,1,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,3,19,7,12,8,2,3,4,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,6,2,0,5,4,3,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,13,11,3,7,3,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,1,1,3,4,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,3,10,8,0,7,1,3,4,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,16,10,5,13,6,3,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,5,4,1,4,2,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,6,3,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,9,8,5,8,2,3,4,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,11,10,4,1,5,3,4,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,10,7,0,8,3,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,4,3,0,1,3,3,4,1,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,2,2,2,2,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Manager,5,22,17,11,15,3,3,4,4,Medium,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,2,2,2,2,2,3,3,2,Low,0,Low,No Immediate Action,0
Sales,Manager,5,7,0,0,6,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,4,0,4,2,3,4,2,Low,0,Low,No Immediate Action,1
Sales,Manager,4,17,13,1,9,3,4,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,9,7,1,7,3,4,1,2,Low,0,Low,No Immediate Action,1
Sales,Manager,5,33,7,15,12,2,3,3,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,4,3,1,2,5,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,3,2,1,2,2,3,3,1,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,3,2,1,2,1,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,3,2,2,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,1,0,0,0,2,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,9,8,4,7,3,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manager,5,24,0,1,7,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,3,2,2,2,2,3,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,0,2,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,11,9,5,9,3,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,1,0,2,2,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,3,2,0,2,1,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,1,0,0,0,5,3,3,0,Low,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,3,19,6,11,8,1,4,3,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,6,5,1,5,1,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,3,2,0,2,1,3,1,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,3,2,0,2,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,4,2,1,2,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,9,6,7,8,4,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,5,21,7,3,9,5,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,0,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,4,1,4,2,3,2,2,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,5,1,0,3,3,4,2,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,8,7,7,5,0,3,4,6,High,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,6,2,0,4,5,3,1,0,Low,0,Low,No Immediate Action,0
Sales,Manager,4,7,7,7,7,2,3,2,5,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,0,0,0,0,5,3,3,0,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,0,0,0,0,2,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,9,0,7,8,2,4,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,6,3,1,5,2,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,4,20,7,4,10,2,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,15,13,10,11,4,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Manager,5,36,10,4,13,2,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Manager,3,10,7,9,9,2,3,2,5,Medium,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,5,2,0,4,3,4,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,0,1,5,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,1,0,4,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,3,5,2,0,2,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Manager,3,7,7,6,2,6,3,2,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,8,0,7,7,3,4,1,2,Low,0,Low,No Immediate Action,0
